created_at,text,text_clean
2025-12-02T11:57:26.000Z,"@kampusfess_ jujur ya kebiasaan menangani kasus banjir jabodetabek sih, jadi kesan nya banjir di luar itu kayak biasa aja dan belum masuk kategori ""bencana nasional"", berarti kalo masuk kategori bencana nasional harus kayak gunung meletus dulu ya? atau gempa yang besar banget?",jujur ya kebiasaan menangani kasus banjir jabodetabek sih jadi kesan nya banjir di luar itu kayak biasa aja dan belum masuk kategori bencana nasional berarti kalo masuk kategori bencana nasional harus kayak gunung meletus dulu ya atau gempa yang besar banget
2025-12-02T11:57:04.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:56:08.000Z,RT @riinmba: kebetulan aku punya draft school life blaze dan gempa jadi osis https://t.co/jAdUxDAfwW,rt kebetulan aku punya draft school life blaze dan gempa jadi osis
2025-12-02T11:55:49.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:55:33.000Z,"RT @RWWReborn: Helikopter MH-60 Seahawk jatuh di Aceh saat rangkaian operasi pemulihan serta evakuasi pasca tsunami dan gempa, pada 10 Janu…",rt helikopter mh seahawk jatuh di aceh saat rangkaian operasi pemulihan serta evakuasi pasca tsunami dan gempa pada janu
2025-12-02T11:54:59.000Z,"RT @feeatheiry: #haligem — Hts berbulan-bulan bikin capek gasih? Gempa bahkan sampai sesek karena hts sama halilintar, bagusnya gak terjadi…",rt haligem hts berbulan bulan bikin capek gasih gempa bahkan sampai sesek karena hts sama halilintar bagusnya gak terjadi
2025-12-02T11:54:43.000Z,"RT @zakiberkata: Kegempaan “Low Frequency” Gunung Slamet 1 bulan terakhir naik signifikan.
Gempa LF terkait pergerakan fluida/magma, gas, d…",rt kegempaan low frequency gunung slamet bulan terakhir naik signifikan gempa lf terkait pergerakan fluida magma gas d
2025-12-02T11:53:59.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:53:42.000Z,"RT @Choco0Milkyy: #boboiboy trio ori nobar

(taufan ga pake topi karena mau nyender2 ke gempa. Soalnya gempa protes kesundul2 topi taufan)…",rt boboiboy trio ori nobar taufan ga pake topi karena mau nyender ke gempa soalnya gempa protes kesundul topi taufan
2025-12-02T11:53:18.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:53:12.000Z,"@Lahlusiapedah @RWWReborn Gk lambat cuma gk bisa langsung bisa membantu semua bertahap karena semua akses darat rusak,kalau di tmpatmu pernah  terjadi bencana pasti paham gmana sulitnya akses listrik mati jalan rusak dan bantuan itu dari kota kota yg jauh aku pernah merasakan waktu gempa jogja",gk lambat cuma gk bisa langsung bisa membantu semua bertahap karena semua akses darat rusak kalau di tmpatmu pernah terjadi bencana pasti paham gmana sulitnya akses listrik mati jalan rusak dan bantuan itu dari kota kota yg jauh aku pernah merasakan waktu gempa jogja
2025-12-02T11:52:43.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:52:24.000Z,"RT @wednesyuda: Recovery adalah jalan sunyi yg tidak byk orang mau masuk krn tdk ada gemerlap publikasinya. 
Ini adalah fase dimana korban…",rt recovery adalah jalan sunyi yg tidak byk orang mau masuk krn tdk ada gemerlap publikasinya ini adalah fase dimana korban
2025-12-02T11:52:19.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:52:18.000Z,"RT @bmkgwilayah2: Info Gempa Mag:2.3, 2-Desember-2025 16:33:37 WIB, Lok: 6.49 LS - 107.34 BT (14 km Barat Laut KAB-PURWAKARTA-JABAR), Kedal…",rt info gempa mag desember wib lok ls bt km barat laut kab purwakarta jabar kedal
2025-12-02T11:52:16.000Z,"RT @RWWReborn: Helikopter MH-60 Seahawk jatuh di Aceh saat rangkaian operasi pemulihan serta evakuasi pasca tsunami dan gempa, pada 10 Janu…",rt helikopter mh seahawk jatuh di aceh saat rangkaian operasi pemulihan serta evakuasi pasca tsunami dan gempa pada janu
2025-12-02T11:52:07.000Z,"RT @rizkidwika: Negara terbesar keempat di dunia.
Negara paling rentan terancam bencana nomor dua di dunia.
Negara dengan gempa terbanyak 2…",rt negara terbesar keempat di dunia negara paling rentan terancam bencana nomor dua di dunia negara dengan gempa terbanyak
2025-12-02T11:51:58.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:51:56.000Z,"RT @zakiberkata: TAS SIAGA MITIGASI BENCANA EDISI 2025 
(Bisa untuk tas siaga gempa, banjir, longsor, atau kondisi darurat lainnya)

Tas si…",rt tas siaga mitigasi bencana edisi bisa untuk tas siaga gempa banjir longsor atau kondisi darurat lainnya tas si
2025-12-02T11:51:13.000Z,"RT @feeatheiry: #haligem — Hts berbulan-bulan bikin capek gasih? Gempa bahkan sampai sesek karena hts sama halilintar, bagusnya gak terjadi…",rt haligem hts berbulan bulan bikin capek gasih gempa bahkan sampai sesek karena hts sama halilintar bagusnya gak terjadi
